project_id,deployment_id,placename,start_date,end_date,failure_1_start,failure_1_end
2006601,BCAM20_2026Apr13_SD44,BCAM20,2026-03-08T00:00:00Z,2026-04-13T00:00:00Z,2026-03-21T00:00:00Z,2026-04-13T00:00:00Z
2006601,BCAM20_2026Feb20_SD62,BCAM20,2026-01-10T00:00:00Z,2026-02-20T00:00:00Z,NA,NA
2006601,BCAM20_2026Jan10_SD25,BCAM20,2025-12-08T00:00:00Z,2026-01-10T00:00:00Z,NA,NA
2006601,BCAM20_2026Mar8_SD44,BCAM20,2026-02-20T00:00:00Z,2026-03-08T00:00:00Z,NA,NA
2006601,BCAM20_2026May31_SD56,BCAM20,2026-04-13T00:00:00Z,2026-05-31T00:00:00Z,2026-04-23T00:00:00Z,2026-05-31T00:00:00Z
2006601,BCAM21_2025Apr26_SD48,BCAM21,2025-03-14T00:00:00Z,2025-04-26T00:00:00Z,NA,NA
2006601,BCAM21_2025Aug5_SD25,BCAM21,2025-06-27T00:00:00Z,2025-08-05T00:00:00Z,NA,NA
2006601,BCAM21_2025Dec8_SD63,BCAM21,2025-11-02T00:00:00Z,2025-12-08T00:00:00Z,NA,NA
2006601,BCAM21_2025Jun27_SD43,BCAM21,2025-06-04T00:00:00Z,2025-06-27T00:00:00Z,NA,NA
2006601,BCAM21_2025Jun4_SD35,BCAM21,2025-04-26T00:00:00Z,2025-06-04T00:00:00Z,NA,NA
2006601,BCAM21_2025Nov2_SD63,BCAM21,2025-10-21T00:00:00Z,2025-11-02T00:00:00Z,NA,NA
2006601,BCAM21_2025Sep12_SD36,BCAM21,2025-08-05T00:00:00Z,2025-09-12T00:00:00Z,NA,NA
2006601,BCAM21_2026Apr13_SD49,BCAM21,2026-03-08T00:00:00Z,2026-04-13T00:00:00Z,NA,NA
2006601,BCAM21_2026Feb20_SD58,BCAM21,2026-01-10T00:00:00Z,2026-02-20T00:00:00Z,NA,NA
2006601,BCAM21_2026Jan10_SD37,BCAM21,2025-12-08T00:00:00Z,2026-01-10T00:00:00Z,NA,NA
2006601,BCAM21_2026Mar8_SD49,BCAM21,2026-02-20T00:00:00Z,2026-03-08T00:00:00Z,NA,NA
2006601,BCAM21_2026May31_SD38,BCAM21,2026-04-13T00:00:00Z,2026-05-31T00:00:00Z,NA,NA
2006601,BCAM22_2025Apr26_SD46,BCAM22,2025-02-16T00:00:00Z,2025-04-26T00:00:00Z,2025-04-01T00:00:00Z,2025-04-26T00:00:00Z
2006601,BCAM22_2025Aug5_SD35,BCAM22,2025-06-27T00:00:00Z,2025-08-05T00:00:00Z,NA,NA
2006601,BCAM22_2025Dec8_SD60,BCAM22,2025-11-02T00:00:00Z,2025-12-08T00:00:00Z,2025-11-15T00:00:00Z,2025-12-08T00:00:00Z
2006601,BCAM22_2025Feb1_SD58,BCAM22,2025-01-04T00:00:00Z,2025-02-01T00:00:00Z,NA,NA
2006601,BCAM22_2025Feb16_SD35,BCAM22,2025-02-01T00:00:00Z,2025-02-16T00:00:00Z,NA,NA
2006601,BCAM22_2025Jan4_SD53,BCAM22,2024-12-20T00:00:00Z,2025-01-04T00:00:00Z,NA,NA
2006601,BCAM22_2025Jun27_SD27,BCAM22,2025-06-04T00:00:00Z,2025-06-27T00:00:00Z,2025-06-14T00:00:00Z,2025-06-27T00:00:00Z
2006601,BCAM22_2025Jun4_SD36,BCAM22,2025-04-26T00:00:00Z,2025-06-04T00:00:00Z,2025-04-29T00:00:00Z,2025-06-04T00:00:00Z
2006601,BCAM22_2025Nov2_SD60,BCAM22,2025-10-21T00:00:00Z,2025-11-02T00:00:00Z,NA,NA
2006601,BCAM22_2025Sep12_SD34,BCAM22,2025-08-05T00:00:00Z,2025-09-12T00:00:00Z,NA,NA
2006601,BCAM22_2026Apr13_SD27,BCAM22,2026-03-08T00:00:00Z,2026-04-13T00:00:00Z,2026-03-09T00:00:00Z,2026-04-13T00:00:00Z
2006601,BCAM22_2026Feb20_SD65,BCAM22,2026-01-10T00:00:00Z,2026-02-20T00:00:00Z,NA,NA
2006601,BCAM22_2026Jan10_SD49,BCAM22,2025-12-08T00:00:00Z,2026-01-10T00:00:00Z,NA,NA
2006601,BCAM22_2026Mar8_SD27,BCAM22,2026-02-20T00:00:00Z,2026-03-08T00:00:00Z,NA,NA
2006601,BCAM22_2026May31_SD51,BCAM22,2026-04-13T00:00:00Z,2026-05-31T00:00:00Z,2026-05-10T00:00:00Z,2026-05-31T00:00:00Z
2006601,BCAM23_2025Apr25_SD68,BCAM23,2025-03-15T00:00:00Z,2025-04-25T00:00:00Z,NA,NA
2006601,BCAM23_2025Aug4_SD27,BCAM23,2025-06-29T00:00:00Z,2025-08-04T00:00:00Z,NA,NA
2006601,BCAM23_2025Dec8_SD45,BCAM23,2025-11-02T00:00:00Z,2025-12-08T00:00:00Z,NA,NA
2006601,BCAM23_2025Feb1_SD61,BCAM23,2025-01-04T00:00:00Z,2025-02-01T00:00:00Z,NA,NA
2006601,BCAM23_2025Feb15_SD53,BCAM23,2025-02-01T00:00:00Z,2025-02-15T00:00:00Z,NA,NA
2006601,BCAM23_2025Jan4_SD39,BCAM23,2024-12-21T00:00:00Z,2025-01-04T00:00:00Z,NA,NA
2006601,BCAM23_2025Jun29_SD64,BCAM23,2025-06-03T00:00:00Z,2025-06-29T00:00:00Z,NA,NA
2006601,BCAM23_2025Jun3_SD22,BCAM23,2025-04-25T00:00:00Z,2025-06-03T00:00:00Z,NA,NA
2006601,BCAM23_2025Mar15_SD61,BCAM23,2025-02-15T00:00:00Z,2025-03-15T00:00:00Z,NA,NA
2006601,BCAM23_2025Nov2_SD45,BCAM23,2025-10-20T00:00:00Z,2025-11-02T00:00:00Z,NA,NA
2006601,BCAM23_2025Sep14_SD55,BCAM23,2025-08-04T00:00:00Z,2025-09-14T00:00:00Z,NA,NA
2006601,BCAM23_2026Apr12_SD54,BCAM23,2026-03-08T00:00:00Z,2026-04-12T00:00:00Z,NA,NA
2006601,BCAM23_2026Feb19_SD27,BCAM23,2026-01-11T00:00:00Z,2026-02-19T00:00:00Z,NA,NA
2006601,BCAM23_2026Jan11_SD51,BCAM23,2025-12-08T00:00:00Z,2026-01-11T00:00:00Z,NA,NA
2006601,BCAM23_2026Mar8_SD54,BCAM23,2026-02-19T00:00:00Z,2026-03-08T00:00:00Z,NA,NA
2006601,BCAM23_2026May30_SD69,BCAM23,2026-04-12T00:00:00Z,2026-05-19T00:00:00Z,NA,NA
2006601,BCAM24_2025Apr26_SD58,BCAM24,2025-03-15T00:00:00Z,2025-04-26T00:00:00Z,NA,NA
2006601,BCAM24_2025Dec8_SD22,BCAM24,2025-11-02T00:00:00Z,2025-12-08T00:00:00Z,NA,NA
2006601,BCAM24_2025Feb1_SD46,BCAM24,2025-01-04T00:00:00Z,2025-02-01T00:00:00Z,NA,NA
2006601,BCAM24_2025Feb16_SD64,BCAM24,2025-02-01T00:00:00Z,2025-02-16T00:00:00Z,NA,NA
2006601,BCAM24_2025Jun27_SD32,BCAM24,2025-06-03T00:00:00Z,2025-06-27T00:00:00Z,NA,NA
2006601,BCAM24_2025Jun3_SD59,BCAM24,2025-04-26T00:00:00Z,2025-06-03T00:00:00Z,NA,NA
2006601,BCAM24_2025Mar15_SD51,BCAM24,2025-03-09T00:00:00Z,2025-03-15T00:00:00Z,NA,NA
2006601,BCAM24_2025Mar9_SD51,BCAM24,2025-02-16T00:00:00Z,2025-03-09T00:00:00Z,NA,NA
2006601,BCAM24_2025Nov2_SD22,BCAM24,2025-10-21T00:00:00Z,2025-11-02T00:00:00Z,NA,NA
2006601,BCAM24_2025Sep12_SD27,BCAM24,2025-08-05T00:00:00Z,2025-09-12T00:00:00Z,NA,NA
2006601,BCAM24_2026Apr13_SD55,BCAM24,2026-03-08T00:00:00Z,2026-04-13T00:00:00Z,NA,NA
2006601,BCAM24_2026Feb20_SD64,BCAM24,2026-01-10T00:00:00Z,2026-02-20T00:00:00Z,NA,NA
2006601,BCAM24_2026Jan10_SD32,BCAM24,2025-12-08T00:00:00Z,2026-01-10T00:00:00Z,NA,NA
2006601,BCAM24_2026Mar8_SD55,BCAM24,2026-02-20T00:00:00Z,2026-03-08T00:00:00Z,NA,NA
2006601,BCAM24_2026May31_SD34,BCAM24,2026-04-13T00:00:00Z,2026-05-31T00:00:00Z,NA,NA
2006601,BCAM25_2025Apr26_SD47a,BCAM25,2025-02-16T00:00:00Z,2025-03-09T00:00:00Z,NA,NA
2006601,BCAM25_2025Apr26_SD47b,BCAM25,2025-03-09T00:00:00Z,2025-04-26T00:00:00Z,2025-04-01T00:00:00Z,2025-04-26T00:00:00Z
2006601,BCAM25_2025Aug_SD63,BCAM25,2025-06-27T00:00:00Z,2025-08-04T00:00:00Z,NA,NA
2006601,BCAM25_2025Dec8_SD59,BCAM25,2025-11-02T00:00:00Z,2025-12-08T00:00:00Z,2025-11-17T00:00:00Z,2025-12-08T00:00:00Z
2006601,BCAM25_2025Feb1_SD46,BCAM25,2025-01-04T00:00:00Z,2025-02-01T00:00:00Z,NA,NA
2006601,BCAM25_2025Feb16_SD63,BCAM25,2025-02-01T00:00:00Z,2025-02-16T00:00:00Z,NA,NA
2006601,BCAM25_2025Jun27_SD59,BCAM25,2025-06-04T00:00:00Z,2025-06-27T00:00:00Z,2025-06-15T00:00:00Z,2025-06-27T00:00:00Z
2006601,BCAM25_2025Jun4_SD68,BCAM25,2025-04-26T00:00:00Z,2025-06-04T00:00:00Z,2025-05-06T00:00:00Z,2025-06-04T00:00:00Z
2006601,BCAM25_2025Nov2_SD59,BCAM25,2025-10-21T00:00:00Z,2025-11-02T00:00:00Z,NA,NA
2006601,BCAM25_2025Sep12_SD59,BCAM25,2025-08-05T00:00:00Z,2025-09-12T00:00:00Z,NA,NA
2006601,BCAM25_2026Apr13_SD48,BCAM25,2026-03-08T00:00:00Z,2026-04-13T00:00:00Z,2026-03-21T00:00:00Z,2026-04-13T00:00:00Z
2006601,BCAM25_2026Feb20_SD66,BCAM25,2026-01-10T00:00:00Z,2026-02-20T00:00:00Z,NA,NA
2006601,BCAM25_2026Jan10_SD48,BCAM25,2025-12-08T00:00:00Z,2026-01-10T00:00:00Z,NA,NA
2006601,BCAM25_2026Mar8_SD48,BCAM25,2026-02-20T00:00:00Z,2026-03-08T00:00:00Z,NA,NA
