placename,year_month,common_name,n_detections,sampling_days
BCAM1,2025-09,Domestic Dog,0,30
BCAM1,2025-09,Human,6,30
BCAM1,2025-09,Human-Camera Trapper,2,30
BCAM1,2025-09,Mule Deer,13,30
BCAM1,2025-09,North American River Otter,0,30
BCAM1,2025-09,Northern Elephant Seal,0,30
BCAM1,2025-09,Northern Raccoon,0,30
BCAM1,2025-09,Striped Skunk,4,30
BCAM1,2025-09,Brush Rabbit,0,30
BCAM1,2025-09,Californian Sea Lion,0,30
BCAM1,2025-09,Domestic Cattle,0,30
BCAM1,2025-09,Elk,0,30
BCAM1,2025-09,Black-tailed Jackrabbit,0,30
BCAM1,2025-12,American Badger,0,24
BCAM1,2025-12,Bobcat,1,24
BCAM1,2025-12,Coyote,4,24
BCAM1,2025-12,Domestic Dog,0,24
BCAM1,2025-12,Human,4,24
BCAM1,2025-12,Human-Camera Trapper,1,24
BCAM1,2025-12,Mule Deer,0,24
BCAM1,2025-12,North American River Otter,0,24
BCAM1,2025-12,Northern Elephant Seal,3,24
BCAM1,2025-12,Northern Raccoon,0,24
BCAM1,2025-12,Striped Skunk,0,24
BCAM1,2025-12,Brush Rabbit,0,24
BCAM1,2025-12,Californian Sea Lion,0,24
BCAM1,2025-12,Domestic Cattle,0,24
BCAM1,2025-12,Elk,0,24
BCAM1,2025-12,Black-tailed Jackrabbit,0,24
BCAM1,2026-01,American Badger,0,31
BCAM1,2026-01,Bobcat,2,31
BCAM1,2026-01,Coyote,14,31
BCAM1,2026-01,Domestic Dog,0,31
BCAM1,2026-01,Human,3,31
BCAM1,2026-01,Human-Camera Trapper,2,31
BCAM1,2026-01,Mule Deer,0,31
BCAM1,2026-01,North American River Otter,0,31
BCAM1,2026-01,Northern Elephant Seal,30,31
BCAM1,2026-01,Northern Raccoon,0,31
BCAM1,2026-01,Striped Skunk,0,31
BCAM1,2026-01,Brush Rabbit,0,31
BCAM1,2026-01,Californian Sea Lion,0,31
BCAM1,2026-01,Domestic Cattle,0,31
BCAM1,2026-01,Elk,0,31
BCAM1,2026-01,Black-tailed Jackrabbit,0,31
BCAM1,2026-05,American Badger,0,30
BCAM1,2026-05,Bobcat,2,30
BCAM1,2026-05,Coyote,5,30
BCAM1,2026-05,Domestic Dog,0,30
BCAM1,2026-05,Human,10,30
BCAM1,2026-05,Human-Camera Trapper,1,30
BCAM1,2026-05,Mule Deer,9,30
BCAM1,2026-05,North American River Otter,0,30
BCAM1,2026-05,Northern Elephant Seal,0,30
BCAM1,2026-05,Northern Raccoon,5,30
BCAM1,2026-05,Striped Skunk,3,30
BCAM1,2026-05,Brush Rabbit,0,30
BCAM1,2026-05,Californian Sea Lion,0,30
BCAM1,2026-05,Domestic Cattle,0,30
BCAM1,2026-05,Elk,0,30
BCAM1,2026-05,Black-tailed Jackrabbit,0,30
BCAM1,2022-12,American Badger,0,10
BCAM1,2022-12,Bobcat,0,10
BCAM1,2022-12,Coyote,3,10
BCAM1,2022-12,Domestic Dog,0,10
BCAM1,2022-12,Human,9,10
BCAM1,2022-12,Human-Camera Trapper,2,10
BCAM1,2022-12,Mule Deer,0,10
BCAM1,2022-12,North American River Otter,0,10
BCAM1,2022-12,Northern Elephant Seal,1,10
BCAM1,2022-12,Northern Raccoon,0,10
BCAM1,2022-12,Striped Skunk,0,10
BCAM1,2022-12,Brush Rabbit,0,10
BCAM1,2022-12,Californian Sea Lion,0,10
BCAM1,2022-12,Domestic Cattle,0,10
BCAM1,2022-12,Elk,0,10
BCAM1,2022-12,Black-tailed Jackrabbit,0,10
BCAM1,2023-01,American Badger,0,31
BCAM1,2023-01,Bobcat,0,31
BCAM1,2023-01,Coyote,4,31
BCAM1,2023-01,Domestic Dog,0,31
BCAM1,2023-01,Human,10,31
BCAM1,2023-01,Human-Camera Trapper,0,31
BCAM1,2023-01,Mule Deer,0,31
BCAM1,2023-01,North American River Otter,0,31
BCAM1,2023-01,Northern Elephant Seal,4,31
BCAM1,2023-01,Northern Raccoon,0,31
BCAM1,2023-01,Striped Skunk,0,31
BCAM1,2023-01,Brush Rabbit,0,31
BCAM1,2023-01,Californian Sea Lion,0,31
BCAM1,2023-01,Domestic Cattle,0,31
BCAM1,2023-01,Elk,0,31
BCAM1,2023-01,Black-tailed Jackrabbit,0,31
BCAM1,2023-02,American Badger,0,28
BCAM1,2023-02,Bobcat,0,28
BCAM1,2023-02,Coyote,2,28
BCAM1,2023-02,Domestic Dog,0,28
BCAM1,2023-02,Human,9,28
BCAM1,2023-02,Human-Camera Trapper,0,28
BCAM1,2023-02,Mule Deer,0,28
BCAM1,2023-02,North American River Otter,0,28
BCAM1,2023-02,Northern Elephant Seal,24,28
BCAM1,2023-02,Northern Raccoon,0,28
BCAM1,2023-02,Striped Skunk,0,28
BCAM1,2023-02,Brush Rabbit,0,28
BCAM1,2023-02,Californian Sea Lion,0,28
BCAM1,2023-02,Domestic Cattle,0,28
BCAM1,2023-02,Elk,0,28
BCAM1,2023-02,Black-tailed Jackrabbit,0,28
BCAM1,2023-03,American Badger,0,10
BCAM1,2023-03,Bobcat,0,10
BCAM1,2023-03,Coyote,6,10
BCAM1,2023-03,Domestic Dog,0,10
BCAM1,2023-03,Human,0,10
BCAM1,2023-03,Human-Camera Trapper,0,10
BCAM1,2023-03,Mule Deer,0,10
BCAM1,2023-03,North American River Otter,0,10
BCAM1,2023-03,Northern Elephant Seal,3,10
BCAM1,2023-03,Northern Raccoon,0,10
BCAM1,2023-03,Striped Skunk,0,10
BCAM1,2023-03,Brush Rabbit,0,10
BCAM1,2023-03,Californian Sea Lion,0,10
BCAM1,2023-03,Domestic Cattle,0,10
BCAM1,2023-03,Elk,0,10
BCAM1,2023-03,Black-tailed Jackrabbit,0,10
BCAM1,2024-01,American Badger,0,19
BCAM1,2024-01,Bobcat,0,19
BCAM1,2024-01,Coyote,7,19
BCAM1,2024-01,Domestic Dog,0,19
BCAM1,2024-01,Human,2,19
BCAM1,2024-01,Human-Camera Trapper,0,19
BCAM1,2024-01,Mule Deer,0,19
BCAM1,2024-01,North American River Otter,0,19
BCAM1,2024-01,Northern Elephant Seal,43,19
BCAM1,2024-01,Northern Raccoon,0,19
BCAM1,2024-01,Striped Skunk,0,19
BCAM1,2024-01,Brush Rabbit,0,19
BCAM1,2024-01,Californian Sea Lion,0,19
BCAM1,2024-01,Domestic Cattle,0,19
BCAM1,2024-01,Elk,0,19
BCAM1,2024-01,Black-tailed Jackrabbit,0,19
BCAM1,2024-02,American Badger,0,10
BCAM1,2024-02,Bobcat,0,10
BCAM1,2024-02,Coyote,1,10
BCAM1,2024-02,Domestic Dog,0,10
BCAM1,2024-02,Human,4,10
BCAM1,2024-02,Human-Camera Trapper,1,10
BCAM1,2024-02,Mule Deer,0,10
BCAM1,2024-02,North American River Otter,0,10
BCAM1,2024-02,Northern Elephant Seal,43,10
BCAM1,2024-02,Northern Raccoon,0,10
BCAM1,2024-02,Striped Skunk,0,10
BCAM1,2024-02,Brush Rabbit,0,10
BCAM1,2024-02,Californian Sea Lion,0,10
BCAM1,2024-02,Domestic Cattle,0,10
BCAM1,2024-02,Elk,0,10
BCAM1,2024-02,Black-tailed Jackrabbit,0,10
BCAM1,2024-03,American Badger,0,23
BCAM1,2024-03,Bobcat,0,23
BCAM1,2024-03,Coyote,1,23
BCAM1,2024-03,Domestic Dog,0,23
BCAM1,2024-03,Human,2,23
BCAM1,2024-03,Human-Camera Trapper,1,23
BCAM1,2024-03,Mule Deer,0,23
BCAM1,2024-03,North American River Otter,0,23
BCAM1,2024-03,Northern Elephant Seal,161,23
BCAM1,2024-03,Northern Raccoon,0,23
